"Day","UTM campaign","UTM term","UTM content","Landing page URL","Online store visitors","Sessions that completed checkout","Sessions that reached checkout","Sessions with cart additions","Average session duration","Pageviews"
"2025-10-28","TOF | AND","TOF | Mumbai | TRLa","DABA – ALL","https://vibewithmoi.in/products/myra-gold-silver-and-uncut-diamond-mini-hoop-earrings?variant=40444534161471&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+AND&utm_content=DABA+%E2%80%93+ALL&utm_term=TOF+%7C+Mumbai+%7C+TRLa&placement=Instagram_Feed&utm_id=120230916336960313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmPZD25UkBpwCYGMWumNePLyeJJGOan0rI7-7azsjpMcqwuv2q4IDgi3qEIqABYC0PF1Oq_aem_zfzzXBHknZJ8m-xvs9bRbw&campaign_id=120230914825700313&ad_id=120230916336950313",1,0,0,0,38,2
"2025-10-28","BOF | DPA","VC & ATC_14 Days - IG","DPA","https://vibewithmoi.in/products/cerys-gold-ruby-and-diamond-engagement-ring?variant=40413070852159&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_14+Days+-+IG&placement=Instagram_Feed&utm_id=23856507181190312_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasnqSZ56ckBp6afh6x8Lh4eKjQK-wlfKQdCZQcwktEpZ7vPsJ4GgU0GMBGQA-VZxYBqDEib_aem_tvs5n3nZiqF3dqvKEJ1NPw&campaign_id=23856507113650312&ad_id=23856527722090312",1,0,0,0,0,2
"2025-10-28","BOF | DPA","VC & ATC_14 Days - FB","DPA","https://vibewithmoi.in/products/harmony-gold-diamond-and-purple-amethyst-orchid-mini-earrings?variant=41537251246143&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_14+Days+-+FB&placement=Facebook_Mobile_Feed&fbclid=IwZXh0bgNhZW0BMABhZGlkAasnmjllzqkBHhD-tbjTn0DMQNmiX1LmudRPXp3xvxOT4IMJkZvh7C8hx4qRBtRNvclbjYYC_aem_7aG5lsvWk_wzxAngkqwumQ&brid=7aG5lsvWk_wzxAngkqwumQ&campaign_id=23856507113650312&ad_id=23856527722080312&utm_id=23856507113780312_v2_s06_e7250",1,0,0,0,0,1
"2025-10-28","TOF | ALL","T2 -  TRLi","DABA – ALL","https://vibewithmoi.in/products/firdos-pearl-ruby-and-gold-chandelier-earrings?variant=39318640984127&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T2+-++TRLi&placement=Instagram_Feed&utm_id=120231849970710313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspdsnnBMkBp9-sy6WgmEKyt8V55Xg216oyGQtV0rsitZknZXsnkUwNDik0RRK1-2kCoqKV_aem_2Zy4UszFj1dCPofBdlbR-g&campaign_id=120204934414040313&ad_id=120231849970770313",1,0,0,0,0,1
"2025-10-28","TOF | AND","TOF | Delhi | TRLa","DABA – ALL","https://vibewithmoi.in/products/felix-gold-diamond-rubies-sapphires-amethyst-and-garnet-bar-earrings?variant=41140020838463&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+AND&utm_content=DABA+%E2%80%93+ALL&utm_term=TOF+%7C+Delhi+%7C+TRLa&placement=Instagram_Feed&utm_id=120230914825710313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspdsbDy8kBp-eLB0vFFxyudD8DXgmhfAJayQHFDDPAlfp4qvt5D_G5vRJCeyqHN67N7ULC_aem_Q2rqS4Qo9t_OizBgMstpKw&campaign_id=120230914825700313&ad_id=120230914825800313",1,0,0,0,0,1
"2025-10-28","TOF | CUSTOM | AUTO","T2 - INT JWLi","CC – BS /TP | 01","https://vibewithmoi.in/products/audrey-gold-diamond-pearl-cluster-ring?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+CUSTOM+%7C+AUTO&utm_content=CC+%E2%80%93+BS+%2FTP+%7C+01&utm_term=T2+-+INT+JWLi&placement=Instagram_Feed&utm_id=120231789112330313_v2_s10_e7291&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmOiCaH5kBp4CDTdgm-yW8Tls_b7ggTOPA5TmAqPRX8R3a-QFQJigyK78olVWvFRwyy_Ri_aem_YNqYsBUbhB1HGt5nAm8lPw&campaign_id=120209632156470313&ad_id=120231789112320313",1,0,0,0,3,2
"2025-10-28","TOF | CUSTOM | AUTO","T2 - INT JWLi","CC – BS /TP | 01","https://vibewithmoi.in/products/nizam-emerald-and-ruby-ring?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+CUSTOM+%7C+AUTO&utm_content=CC+%E2%80%93+BS+%2FTP+%7C+01&utm_term=T2+-+INT+JWLi&placement=Instagram_Feed&utm_id=120231789112330313_v2_s06_e7250&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmOiCaH5kBpw1wKF1u8ofLuZxIgM6Hi3aqotquyXBsoo8RKOtmEfJ_ansJk65yeS5ArTKd_aem__ePrv2bxUDIsaElfDVmZzg&campaign_id=120209632156470313&ad_id=120231789112320313",1,0,0,0,0,1
"2025-10-28","TOF | ALL","T2 -  TRLi","DABA – ALL","https://vibewithmoi.in/products/adem-gold-diamond-purple-amethyst-pearl-and-green-enamel-pendant-necklace?variant=41284324458559&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T2+-++TRLi&placement=Instagram_Feed&utm_id=120231849970710313_v2_s17_e314&campaign_id=120204934414040313&ad_id=120231849970770313",1,0,0,0,34,3
"2025-10-28","TOF | AND","TOF | Mumbai | TRLa","DABA – ALL","https://vibewithmoi.in/products/elizabeth-gold-diamond-and-emerald-terahertz-bracelet?variant=42417810899007&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+AND&utm_content=DABA+%E2%80%93+ALL&utm_term=TOF+%7C+Mumbai+%7C+TRLa&placement=Instagram_Feed&utm_id=120230916336960313_v2_s18_e314&fbclid=PAaWdyZANtBY9leHRuA2FlbQEwAGFkaWQBqyY9kPblSQGnAQ6UzeR0ZAuIscMRutr1X5T1Uc7rIBvaidQTuNYrAArEuOrHP5iUB-WK-cE_aem_iSteS0ACAU_DAn1v3F0XUA&campaign_id=120230914825700313&ad_id=120230916336950313",1,0,0,0,0,1
"2025-10-28","TOF | CUSTOM | AUTO","T2 - INT JWLi","CC – BS /TP | 01","https://vibewithmoi.in/products/dakota-gold-diamond-and-amethyst-mini-earrings?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+CUSTOM+%7C+AUTO&utm_content=CC+%E2%80%93+BS+%2FTP+%7C+01&utm_term=T2+-+INT+JWLi&placement=Instagram_Feed&utm_id=120231789112330313_v2_s10_e7291&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmOiCaH5kBp-RmafNgo0kH2who-SLCZtEDpzUHgx0TglBQ5H7eNM-UCPW55gRcLm-lJbZ__aem_4LT7AbAWhu2yxux43AElew&brid=4LT7AbAWhu2yxux43AElew&campaign_id=120209632156470313&ad_id=120231789112320313",1,0,0,0,0,1
