Daily Dashboard
"October 1, 2024 - October 26, 2025"
Day,Campaign,Campaign status,Currency code,Cost,Avg. CPM,CTR
2024-10-18,Pmax_necklaces,Paused,INR,2113.64,122.15,1.23%
2024-10-18,DISPLAY-Remarketing,Paused,INR,481.99,41.29,1.79%
2024-10-18,TOF - Display New Customer,Paused,INR,295.59,49.33,1.94%
2024-10-18,Search_Competitors_Brand,Paused,INR,3102.60,3806.87,4.29%
2024-10-19,Brand-Search,Eligible,INR,3608.09,20044.92,42.22%
2024-10-19,Pmax_Rings,Paused,INR,6992.96,132.42,0.79%
2024-10-19,Pmax_Earrings,Paused,INR,1780.29,164.20,1.68%
2024-10-19,BOF-YT-ALL PRODUCTS,Removed,INR,595.64,20.87,5.91%
2024-10-19,Pmax_necklaces,Paused,INR,1632.07,82.49,1.29%
2024-10-19,DISPLAY-Remarketing,Paused,INR,465.56,62.93,1.81%
2024-10-19,TOF - Display New Customer,Paused,INR,292.50,56.35,2.10%
2024-10-19,Search_Competitors_Brand,Paused,INR,3115.14,2628.81,3.46%
2024-10-20,Brand-Search,Eligible,INR,6916.04,33091.10,38.76%
2024-10-20,Pmax_Rings,Paused,INR,7344.52,130.42,0.88%
2024-10-20,Pmax_Earrings,Paused,INR,2051.28,162.36,1.58%
2024-10-20,BOF-YT-ALL PRODUCTS,Removed,INR,592.65,25.72,6.12%
2024-10-20,Pmax_necklaces,Paused,INR,2022.63,139.37,1.34%
2024-10-20,DISPLAY-Remarketing,Paused,INR,474.06,83.30,2.20%
2024-10-20,TOF - Display New Customer,Paused,INR,325.33,178.95,4.84%
2024-10-20,Search_Competitors_Brand,Paused,INR,2781.80,3212.24,4.39%
2024-10-21,Brand-Search,Eligible,INR,3509.16,16171.23,33.64%
2024-10-21,Pmax_Rings,Paused,INR,7955.52,134.27,0.86%
2024-10-21,Pmax_Earrings,Paused,INR,3048.22,226.13,1.49%
2024-10-21,BOF-YT-ALL PRODUCTS,Removed,INR,582.83,26.30,5.74%
2024-10-21,Pmax_necklaces,Paused,INR,2233.41,158.68,1.29%
2024-10-21,DISPLAY-Remarketing,Paused,INR,461.91,99.29,1.74%
2024-10-21,TOF - Display New Customer,Paused,INR,280.01,93.37,3.97%
2024-10-22,Brand-Search,Eligible,INR,4002.22,23681.78,38.46%
2024-10-22,Pmax_Rings,Paused,INR,6755.47,131.00,0.88%
2024-10-22,Pmax_Earrings,Paused,INR,2485.45,210.19,1.30%
2024-10-22,BOF-YT-ALL PRODUCTS,Removed,INR,581.79,26.43,5.17%
2024-10-22,Pmax_necklaces,Paused,INR,1408.45,96.60,0.98%
2024-10-22,DISPLAY-Remarketing,Paused,INR,478.40,55.36,1.77%
2024-10-22,TOF - Display New Customer,Paused,INR,280.04,84.89,2.85%
2024-10-23,Brand-Search,Eligible,INR,7579.73,40971.50,43.78%
2024-10-23,Pmax_Rings,Paused,INR,5470.24,110.13,0.75%
2024-10-23,Pmax_Earrings,Paused,INR,1894.12,192.61,1.50%
2024-10-23,BOF-YT-ALL PRODUCTS,Removed,INR,579.89,28.38,5.49%
2024-10-23,Pmax_necklaces,Paused,INR,2348.29,115.11,1.13%
2024-10-23,DISPLAY-Remarketing,Paused,INR,483.43,28.74,1.33%
2024-10-23,TOF - Display New Customer,Paused,INR,293.09,39.94,1.49%
